minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.6163444674284922,34.12835468571402,14.363590144982114,34.2738851204008,6.3711700114518415,22.39878566041847,16.070268286329398,30.053257074196512
0,Marvin the Martian,0.609348867207945,28.887962030742898,15.644995652102073,33.53639217170742,5.972523084307875,24.78355720464073,14.64215447442082,24.62551289824898
0,Road Runner,0.6310816794628576,25.442490418461176,14.368644705254017,34.380849334027666,6.332908180451498,21.4505134512483,9.06558249468758,20.973444227535847
0,Foghorn Leghorn,0.6200934583115799,30.634342096005412,14.981158649769787,35.58565668476389,3.968261215856832,19.73020457895607,12.568811017128429,27.761387569331585
0,Bugs Bunny,0.613474674591157,32.62986041932605,18.228774271955913,32.97023484061329,6.532217346825026,15.993989253799453,14.745469991240778,28.900024173542985
0,Elmer Fudd,0.6130506734466721,29.021190374410224,15.804058655715476,37.26579864104607,4.766491697582893,26.93125496684914,12.785980904521574,23.390751290928076
0,Lola Bunny,0.6413497552250634,28.970906413600943,13.1855585807002,38.74090784379828,3.6084782250788443,18.464690832844664,15.93205953599806,37.239743324352176
0,Porky Pig,0.6180183516844974,29.548639955912236,16.511982404739953,36.499416617923906,6.8244877839662355,16.429360155442566,14.817260953385553,31.681100657564915
0,Tasmanian Devil,0.6030217926466122,25.996457732234145,14.480947316685706,37.142552467455886,4.971246942388519,21.126751953004877,10.297092072369288,23.273474394073784
0,Gossamer,0.6194409687527647,33.24143216292408,15.97500493990141,30.0563641108098,3.966071322673167,21.77412212313352,16.46849818161242,28.263445372468258
0,Granny,0.6079752109357001,29.89841272539513,16.65536534642413,34.25762554874644,6.088355684602886,21.72650313811293,13.321747901622473,24.548531751950105
0,Wile E. Coyote,0.6242878967061749,28.260252745993977,14.91874747509668,35.95957086935542,5.250477744586885,30.046897295140518,16.987282237505994,27.446139857381137
0,Tweety,0.6078576187055239,29.691928086532297,13.515773723307287,37.77186082401003,7.371065945265057,22.802481089659267,9.47858634356948,22.049411850596744
0,Penelope,0.6080931066796693,24.817895283421386,16.11268058343223,27.795326925751645,9.40917803705471,20.380905691022836,13.090019996583482,20.164624861059966
0,Daffy Duck,0.6337633591526681,31.083183835021604,14.809730940414203,31.595021870886406,4.95385587753902,24.039209507543468,12.738857572644177,23.60842771915406
12,Sylvester,0.6146733449215318,33.43241295314857,14.882000158339027,33.027091227961805,7.323233875911515,23.568436489290757,16.43641330768034,28.399181119458216
12,Marvin the Martian,0.6057138389202508,32.3904403345349,14.338925587194675,29.571794130504333,5.780202605591913,28.263297295864007,15.18430338097494,21.759846538802147
12,Road Runner,0.6350686435477413,27.627551191634407,14.329182507055107,39.40449631422024,6.395515529822957,31.594607309672522,13.652910827753276,24.514702492106817
12,Foghorn Leghorn,0.6143999874516693,29.450225341339237,15.391475466282973,35.268109587133516,5.199283816655532,22.1496261533381,15.895206631231535,29.711840403928324
12,Bugs Bunny,0.6370695438260577,34.63561545980179,17.14241261555567,33.03455732016841,7.170604827542325,18.353204636534453,12.42979171085667,26.247752199779296
12,Elmer Fudd,0.6222660526696179,29.5534603196343,15.512623922887501,35.17089480690084,6.1268643489538075,18.32761481490539,13.783469599574595,29.247769692542203
